time,PriceUSD,raw_signal,adjusted_signal,dynamic_multiplier,daily_allocation_usd,daily_btc_purchase,mvrv_zone,vol_regime
2010-08-18,0.068,0.0,0.0,1.0,100.0,1470.5882352941176,Neutral,High
2010-08-19,0.0667,0.0,0.0,1.0,100.0,1499.250374812594,Neutral,High
2010-08-20,0.0655,0.0,0.0,1.0,100.0,1526.7175572519084,Neutral,High
2010-08-21,0.0664,0.0,0.0,1.0,100.0,1506.0240963855422,Neutral,High
2010-08-22,0.0659289888953828,0.0,0.0,1.0,100.0,1516.7834616526827,Neutral,High
2010-08-23,0.06491,0.0,0.0,1.0,100.0,1540.5946695424434,Neutral,High
2010-08-24,0.065,0.0,0.0,1.0,100.0,1538.4615384615383,Neutral,High
2010-08-25,0.0648,0.0,0.0,1.0,100.0,1543.20987654321,Neutral,High
2010-08-26,0.0640751139684395,0.0,0.0,1.0,100.0,1560.6683126502978,Neutral,High
2010-08-27,0.065,0.0,0.0,1.0,100.0,1538.4615384615383,Neutral,High
2010-08-28,0.0646,0.0,0.0,1.0,100.0,1547.9876160990711,Neutral,High
2010-08-29,0.064,0.0,0.0,1.0,100.0,1562.5,Neutral,High
2010-08-30,0.06497,0.0,0.0,1.0,100.0,1539.171925504079,Neutral,High
2010-08-31,0.06,0.0,0.0,1.0,100.0,1666.6666666666667,Neutral,High
2010-09-01,0.0620248275862069,0.0,0.0,1.0,100.0,1612.2576054082901,Neutral,High
2010-09-02,0.0634,0.0,0.0,1.0,100.0,1577.2870662460568,Neutral,High
2010-09-03,0.06085,0.0,0.0,1.0,100.0,1643.3853738701725,Neutral,High
2010-09-04,0.062178275862069,0.0,0.0,1.0,100.0,1608.2787535285072,Neutral,High
2010-09-05,0.06165,0.0,0.0,1.0,100.0,1622.0600162206001,Neutral,High
2010-09-06,0.0616,0.0,0.0,1.0,100.0,1623.3766233766232,Neutral,High
2010-09-07,0.0612391180596142,0.0,0.0,1.0,100.0,1632.9431769845771,Neutral,High
2010-09-08,0.061,0.0,0.0,1.0,100.0,1639.344262295082,Neutral,Medium
2010-09-09,0.0611149707773232,0.0,0.0,1.0,100.0,1636.260293150711,Neutral,Medium
2010-09-10,0.0610115242548218,0.0,0.0,1.0,100.0,1639.0346122535514,Neutral,Medium
2010-09-11,0.0636208649912332,0.0,0.0,1.0,100.0,1571.8113863082456,Neutral,Medium
2010-09-12,0.0615,0.0,0.0,1.0,100.0,1626.0162601626016,Neutral,Medium
2010-09-13,0.06218,0.0,0.0,1.0,100.0,1608.2341588935349,Neutral,Medium
2010-09-14,0.06199,0.0,0.0,1.0,100.0,1613.1634134537828,Neutral,Medium
2010-09-15,0.0604,0.0,0.0,1.0,100.0,1655.6291390728477,Neutral,Medium
2010-09-16,0.0619,0.0,0.0,1.0,100.0,1615.5088852988692,Neutral,Low
2010-09-17,0.0600005260081823,0.0,0.0,1.0,100.0,1666.652055456363,Neutral,Low
2010-09-18,0.061,0.0,0.0,1.0,100.0,1639.344262295082,Neutral,Low
2010-09-19,0.0627,0.0,0.0,1.0,100.0,1594.8963317384369,Neutral,Low
2010-09-20,0.0621017358270018,0.0,0.0,1.0,100.0,1610.2609479157272,Neutral,Low
2010-09-21,0.06265,0.0,0.0,1.0,100.0,1596.1691939345571,Neutral,Low
2010-09-22,0.061881870251315,0.0,0.0,1.0,100.0,1615.982186606181,Neutral,Low
2010-09-23,0.062153512565751,0.0,0.0,1.0,100.0,1608.9195263777237,Neutral,Low
2010-09-24,0.0622,0.0,0.0,1.0,100.0,1607.717041800643,Neutral,Low
2010-09-25,0.06202,0.0,0.0,1.0,100.0,1612.3831022250888,Neutral,Low
2010-09-26,0.062,0.0,0.0,1.0,100.0,1612.9032258064517,Neutral,Low
2010-09-27,0.0622004418468732,0.0,0.0,1.0,100.0,1607.7056212266598,Neutral,Low
2010-09-28,0.0619038977206312,0.0,0.0,1.0,100.0,1615.4071663030713,Neutral,Low
2010-09-29,0.06191,0.0,0.0,1.0,100.0,1615.2479405588758,Neutral,Low
2010-09-30,0.0619,0.0,0.0,1.0,100.0,1615.5088852988692,Neutral,Low
2010-10-01,0.0619733138515488,0.0,0.0,1.0,100.0,1613.597753373985,Neutral,Low
2010-10-02,0.0614,0.0,0.0,1.0,100.0,1628.6644951140065,Neutral,Low
2010-10-03,0.0610648684979544,0.0,0.0,1.0,100.0,1637.60280599556,Neutral,Low
2010-10-04,0.0612944769140853,0.0,0.0,1.0,100.0,1631.4683644362788,Neutral,Low
2010-10-05,0.0614,0.0,0.0,1.0,100.0,1628.6644951140065,Neutral,Low
2010-10-06,0.06281,0.0,0.0,1.0,100.0,1592.1031682853047,Neutral,Low
2010-10-07,0.067,0.0,0.0,1.0,100.0,1492.5373134328358,Neutral,Low
2010-10-08,0.0844531081239041,0.0,0.0,1.0,100.0,1184.0890432746007,Neutral,High
